ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
403,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.095027,42.213267
404,1,5,16.600000381469727,7,2.940000057220459,11.75,2.121111,41.306808
405,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.095601,42.213286
406,1,250,16,10.300000190734863,74.83000183105469,8.850000381469727,27.046039,38.408863
407,1,4,17,8.199999809265137,2.5799999237060547,12.869999885559082,-8.951776,38.753216
408,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.102204,42.206684
409,1,62,17.200000762939453,12.300000190734863,14.100000381469727,11.199999809265137,17.360462,-30.472771
410,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.09603,42.212708
411,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.100866,42.211568
412,1,51,16.5,7.800000190734863,32.97999954223633,11.489999771118164,-9.039743,38.902205
413,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.093967,42.223186
414,1,18,17,8.300000190734863,6.760000228881836,12.5600004196167,-8.991627,38.709316
415,1,-1,13.199999809265137,8.600000381469727,7.590000152587891,13.279999732971191,12.315398,44.278071
416,1,615,14.699999809265137,12.600000381469727,6.960000038146973,13.109999656677246,-3.697037,39.138028
417,1,451,16.399999618530273,10.600000381469727,20.65999984741211,11.260000228881836,-4.743347,37.131287
418,1,451,16.399999618530273,10.600000381469727,20.65999984741211,11.260000228881836,-4.739428,37.131003
419,1,451,16.399999618530273,10.600000381469727,20.65999984741211,11.260000228881836,-4.743347,37.131287
420,1,-2,17,8.800000190734863,0.8500000238418579,13.119999885559082,0.74359,40.649897
421,1,1,13.199999809265137,8.600000381469727,2.5399999618530273,14.020000457763672,12.340536,44.250533
422,1,31,11.600000381469727,7.300000190734863,11.020000457763672,11.899999618530273,28.707249,44.492391
423,1,615,14.699999809265137,12.600000381469727,6.960000038146973,13.109999656677246,-3.697037,39.138028
424,1,18,23.700000762939453,9.300000190734863,11.819999694824219,11.109999656677246,35.463403,-21.609794
425,1,1,15.899999618530273,7.900000095367432,14.1899995803833,12.800000190734863,3.113763,42.240266
426,1,451,16.399999618530273,10.600000381469727,20.65999984741211,11.260000228881836,-4.740214,37.131946
427,1,451,16.399999618530273,10.600000381469727,20.65999984741211,11.260000228881836,-4.743347,37.131287
428,1,18,17,8.300000190734863,6.760000228881836,12.5600004196167,-8.992658,38.707173
429,1,3,16.100000381469727,8.399999618530273,3.0299999713897705,13.1899995803833,19.496102,40.97391
